user_id,goods_id,category_id,comment
10802,1401647,3314621,东西倒还可以，严重批评京东快递员，送来问都不问往前台一扔走了，一开始没找到，打电话问有没有人签收，居然说没有时间让人签收，这种快递员京东还留着干嘛
2524,496053,2197799,没有“就设计讲设计”，而是在讲解“设计思维”中更多的讲解到了设计的本质来源和最终服务对象：人类思维。通过讲解人类思维，让人明白“为什么应该这样做”而不仅仅是“应该要怎样做”。是一本讲解“设计之道”而不是“设计之术”的书。翻译得也不错。启发很多，受益匪浅。对设计方面的新手以及做过一段时间设计的人员都比较有帮助。
4168,4642741,4145813,苹果越来越差了！难吃！老了！黄了！
3289,1061608,4294583,京东让我失望让我愁呀。。一个月前拿回去返修说问题。。才过半个月又出现同样的的故障！京东商城要给我个说法。
11025,4934856,970709,真是一分价钱一分货，清晰度不高跟现在一般般的手机的清晰度没法比
2824,4632344,903809,发货速度快，体验还不错
1645,2649896,1568197,我想说以后咱不能以个卖吗？这个头也太小了！一口就吃完了
9046,4780771,1573465,这次苹果包装很好派送速度快服务态度好
10905,2907145,383530,很不爽的一次购物，整的什么赠送皮套，还赠完即止，结果我还没有收到皮套，我就想知道有人收到皮套了吗？恶心的活动！
6773,1326078,174490,宝贝很好 比在本地超市买要便宜 还是正品 物流也很快 很满意的一次购物 下次一定还会来的！
5114,1532888,1464116,这套书买回来后孩子没有太大的兴趣，只随手翻看过几次，现在在抽屉里休着呢，以后慢慢让她看吧，不知是不是她不习惯看这种图画书？
2062,3790094,2979796,昨天买的，今*有点小不爽，虽说可以退货再买，就不倒腾了，东西还是不错的
2178,2336502,4756105,收到快递时都没有发膜，还有就是第二天就降价
251,2228681,1464116,小木头很喜欢这套书，就象喜欢卡梅拉那套一样。不管是讲里面的内容，还是把书按套叠起来，都能带给他很大的快乐。而且小木头上托儿所之前，我和他反复地看着关于讲幼儿园的那两本书，让他明白了托儿所里只有老师和小朋友和玩具们，没有爸爸妈妈，但老师会象妈妈一样爱他照顾他，而且还有很多小朋友和他一起玩，会很快乐。后来小木头上托儿所适应很快，一周就适应好了。
1455,553210,4096107,别买了，真的，不新鲜水果也不好吃，谁买谁上当！
10989,1530630,1265358,900块钱的手机，懒得去折腾，JD也不会去关注买家的反馈，只是让我遗憾的是这唯一还值得信赖的网购平台，也慢慢在利益的驱使下，失去买家的信赖。东哥一次次保证JD商品的质量没有问题，但事实果真如此吗？一次次被打脸，不久的将来，JD也会成为第二个*宝吗？
3094,3887779,2366905,买了不到一个月，降价100元。。。百分之12.5的降价。。。差评
1233,3685477,1464116,买过一次了，觉得很不错又下单买了一件，果子大小均等，口味还行，吃完了再来买。
9038,540719,2926020,发货时不检查吗？都烂成这样了还继续发货！不是打京东的脸吗？
5739,3578239,4159072,太差了，一心都不想给，就过一个晚上都不退，玩王者荣耀卡死人，玩什么都卡，laji. laji
4138,25616,2581941,真的很差劲 苹果个头太小 不值这个价 友情提醒慎买
1287,4238924,4048584,果甜，水足，口感不错！下次有活动还会光顾！
2428,2043019,3299155,瓶子本身包装外观还可以，只是买了两瓶，有一瓶送来的时候居然漏了，发票也泡坏了，不满意这次购物
3255,973198,3747017,我在实体店里看好的，店员告诉我是全网通的，结果我买了在京东买了一个通话版的，一问才告诉我说是不支持电信的，真奇葩，我13号买的，告诉我14号可以到货，结果16号才收到，至少不能送起码给我一个电话吧，信都没得一个，第一次在京东上购物，很伤心的一次，
5499,255681,2885642,很不错的平板，好用。
10009,3557403,411153,在一个悲伤而压抑的日子里，阅读了这本书。那些曾经踮脚张望过的时光，在不知不觉中已经成了时间永远的过去。美好的高中校园，我已不是经历者，而是过来人。文字的背后，透露着熟悉而亲切的味道。那些成长的故事，你我都或多或少地经历过。也是以相类似的方式，成长着。喜欢寂地，MY WAY用色彩，文字。源源不断地给予力量。从心底深处，缓缓地升腾起温暖。无论如何，都要微笑下去吧。勇敢地去迎接，我的未来吧。
6718,2560262,2735466,水果外形不错，比较小。第试了下，里面芯是黑的，让人怎么吃。第一次买到这么差的东西
10552,4791185,4563628,今天刚开始用，看着还不错，用段时间在来
10111,3336653,2885642,集合两岸三地的艺术家创作插图，每一本都风格独特。字号大，跟小学课本文字大小差不多，并且是注音版，尤其适合小学低年级的孩子阅读。能增加孩子阅读的兴趣，而且能增加传统文化修养。书的选择也非常好。如果说有什么遗憾的话，那就是缩写得太历害了点，对于要真正了解传统文学的中高年级孩子，更应该阅读完整版本。是一套质量上乘的儿童读物。浙江少儿出版社一直有很好的表现，值得肯定！
4410,3403831,4107781,京东速度就是快，不错，价格还可以。
9834,1911880,888094,别的先不说 打开包装 瓶子裸放着。瓶口是打开的 。挤出了很多洗发液在盒子上。
5193,4379314,2735466,买这本书的时候，还没有读完张爱玲以及关于张爱玲的书。只因为看了这里的评论似乎还不错。也因为急切的想了解关于张爱玲的一切。待读完张爱玲以及关于张爱玲的作品以后。真没有心情也没有兴趣看这个垃圾写的书了。淡定！淡定！既然买了，就看一下吧，从另一个侧面了解一下也好。可，才看了一节，就不想看下去了，于是丢在了某个角落，再也不想去碰。都说他是才子，我倒觉得其文笔实在拙劣。絮叨、杂乱，庸俗，不知所言！将其猪脑子里所有自认为华丽的词语堆砌到一起便成了所谓华丽的句子。总的评价：垃圾
1682,2612258,3904106,苹果内部怎么会这样？？？买了两次都这样，无语，真垃圾
9654,4784540,1274818,试试看怎么样，长发用洗发水实在是太费了，不停的在买，这个优惠不错，买来给爸爸用
10265,430997,106173,画质还可以，就是声音有点小
209,4316393,1127566,不怎么好 那个沐浴露都一团团的
5236,3680234,535180,不错，是正品。
1170,5025814,1277731,没有专用的数据线与电脑连接.
10469,1732503,3395587,收到，东西很好。就是内存小了点，不够可以买内存卡。不错，我喜欢?
3624,1289937,1349561,"今年七月二十一号在958 598买的机子,不到一星期,就出毛病了,不显示电池电量,八月七号拿去修,说是主板坏了,并且维修站没有主板换,不知道什么时侯厂家能寄主板来,要求换一台,说过了十五天包换期.气死人了.难怪国产手机厂家那么或亏损、或到闭。我看CECT 的命运也好不到那里去。"
6940,3147600,522951,一直用这款洗发水 很好用 这是秒杀价划算
2008,4681909,570735,"宝贝收到了,没想到会这么快到了,快递小哥的态度很不好,可以理解.是因为天气热吗?真的热"
2274,903565,1789614,京东太变态，一天一个价，收货第二天就降价 还送吹风机。联系客服，说记录反馈，不用重新下单了，结果至今没有回复。
6034,5023660,1029459,大家千万不要买这个，才买回来就总是卡死了，截图都不行 ，总是要关机重启，找客服直接把你推给售后，简直无语了，
10490,2282775,5071267,用着不错，性能很好，屏幕很大
