category_id,category_count,category_label
4756105,41445,手机壳
4145813,28497,数据线
2355072,25264,耳机
982926,24241,USB风扇
3607361,23446,迷你蓝牙音箱
2520377,17985,LED台灯
4801426,16756,笔记本
1320293,14865,中性笔
3002561,13206,文件夹
2465336,11827,垃圾桶
2735466,11151,衣架
149192,8530,厨房开瓶器
4181361,8469,清洁刷
4217906,7959,牙刷
154040,7490,牙膏
1080785,7475,梳子
2520771,7009,小型剃须刀
3738615,6973,面膜
2885642,6969,指甲油
1879194,6581,化妆刷
2640118,5810,零食礼包
2920476,5698,方便面
1464116,5637,茶包
4357323,5197,速溶咖啡
570735,5139,发圈
1859277,4894,发夹
4643350,4419,袜子
4170419,4399,围巾
1299190,4085,手套
411153,4051,简易瑜伽垫
1575622,4013,跳绳
2939262,3950,儿童拼图
2096639,3914,小型玩偶
3299155,3693,宠物玩具
1029459,3685,猫抓板
2131531,3161,宠物喂食器
2578647,3005,订书机
4690421,2922,剪刀
903809,2828,胶带
4789432,2801,回形针
4022701,2773,便利贴
753984,2671,桌布
883960,2664,收纳盒
4173315,2553,鞋刷
2926020,2517,鞋垫
384755,2516,香皂
5071267,2388,洗手液
3645362,2318,洗衣袋
5053508,2278,干燥剂
200278,2262,防潮袋
965809,2229,空气清新剂
1051370,2184,蚊香
285583,2165,电蚊拍
2558244,2164,晾衣架
2982027,2068,晒衣夹
4244487,2048,浴室地垫
3720767,2039,杯子
3004853,2028,餐具套装
1216617,2007,保温杯
235534,1984,小型盆栽
1567637,1923,桌面收纳架
672001,1877,钥匙扣
4339722,1797,卡包
737184,1795,零钱包
238434,1736,手提袋
344833,1712,贴纸
1851156,1706,书签
3102419,1672,相册
4159072,1627,桌游卡牌
2945933,1617,折叠伞
4284875,1612,太阳镜
1265358,1566,发带
4672807,1547,耳钉
4082778,1544,戒指
1397912,1541,手链
1379146,1509,挂饰
2440115,1507,仿真花
4069500,1503,小夜灯
3065645,1435,插座延长线
3776866,1409,充电器
1787510,1407,移动电源（小容量）
1349561,1404,自拍杆
4558987,1328,手机支架
634390,1319,屏幕清洁套装
3158249,1298,桌面加湿器
245312,1289,小型工具箱
4462359,1289,创意摆件
801221,1269,香薰蜡烛
4918438,1260,火柴盒
4606718,1253,小型垃圾桶
4962280,1233,桌面吸尘器
2462567,1220,旅行牙刷套装
3598912,1168,折叠水壶
2342116,1160,简易画板
2228184,1158,彩色铅笔
1061857,1158,橡皮擦
4719814,1151,学生尺子
1568197,1118,透明文件袋
3189162,1114,小型镜子
119741,1114,电子计算器
381850,1088,化妆棉
846990,1078,卸妆水
866301,1062,睫毛夹
2693696,1056,假睫毛
4818107,1047,眉笔
886203,1033,口红（平价款）
4163659,1028,腮红
2181935,997,粉底液（小容量）
1275696,965,隔离霜
3975787,964,定妆喷雾
4358294,954,指甲锉
2892802,952,指甲剪套装
2158079,938,美甲贴纸
84264,931,护手霜
4882154,920,香体喷雾
4993094,915,运动护腕
1789614,912,运动头带
2858794,908,运动毛巾
102272,899,小型哑铃
3015852,881,弹力带
1467750,873,运动水壶
3702593,872,健身手套
1792277,871,瑜伽砖
4731191,864,护膝
1834026,863,跑步腰包
941949,862,健身计步器
2629787,845,自动铅笔
3524510,806,彩色荧光笔
3673049,794,活页本
983613,784,订书钉
4919077,784,修正带
4148053,769,水彩颜料套装
1994940,763,毛笔
3898483,760,画架（小型）
2572604,751,手账胶带
4874384,749,DIY手工材料包
3160926,745,磁性书签
1646753,726,文件收纳袋
4050612,722,笔袋
3624696,714,创意橡皮
405755,712,钢尺
3579754,711,桌面整理盘
3138705,705,多功能文具盒
171529,704,小型白板
4697972,696,白板笔
2304296,692,文具收纳架
3844144,689,学生计算器
3673501,687,字帖练习本
2419959,681,英语单词卡片
3231625,678,数学练习册
2297500,673,科学实验工具套装（儿童版）
2072473,664,彩色便签条
2495340,660,手工剪刀
50601,659,纸胶带
1729993,655,DIY拼图套装
