user_id,face
5854,互联网从业者
6915,金融从业者
6722,教育从业者
10142,医疗从业者
9715,法律从业者
1074,咨询顾问
727,市场营销人员
7704,人力资源专员
2063,行政人员
6166,设计师
2084,程序员
1661,产品经理
5174,运营专员
2337,会计 / 财务
3506,公关人员
10044,零售店员
9571,餐饮从业者
1287,物流快递员
3641,网约车司机
1777,导游 / 旅游从业者
6470,美容美发师
2873,健身教练
6283,家政服务人员
9596,客服专员
4881,销售顾问
3605,自由设计师
3802,独立摄影师
3167,自媒体创作者
8389,插画师
10838,作家 / 文案
2281,音乐人
2927,短视频博主
4739,电商主播
6773,网红 / 达人
7597,手工匠人
1343,大学生
5206,研究生 / 博士生
480,留学生
10048,教师 / 教授
6345,科研人员
5113,培训师
1737,中小学教师
1714,辅导员
4882,实习生
312,应届毕业生
6259,工程师
4675,技术工人
10649,电工 / 维修师
2503,建筑从业者
6480,机械操作员
2912,质检员
8141,化工从业者
7260,航空航天技术人员
8888,电子工程师
8774,汽车维修师
6279,农民 / 种植户
1050,渔民 / 养殖户
3385,畜牧从业者
115,园艺师
6577,林业工作者
8294,手工艺人
10713,非遗传承人
1376,传统匠人（如木工、陶艺）
2791,餐饮店主
4080,小商户老板
11058,公务员
894,军人 / 警察
10451,消防员
9582,空乘 / 飞行员
595,医护人员（医生 / 护士）
1564,心理咨询师
3100,翻译 / 口译员
10236,会展策划师
6721,婚庆从业者
7087,殡葬行业从业者
5675,全职家长
8762,家庭主妇 / 主夫
10422,二胎 / 多孩家长
1795,准父母（备孕 / 孕期）
3904,退休人员
1238,空巢老人
4424,养宠家庭主人
2706,残障人士护理者
5601,家政管理者
5958,家庭采购决策者
10360,元宇宙设计师
1212,跨境电商从业者
1416,数据标注员
3079,电竞从业者
3618,游戏代练 / 陪玩
9105,虚拟主播
1374,直播运营
10496,社群管理员
10617,新媒体运营
10642,跨境买手
9038,自由职业者
5739,创业者
6522,个体经营者
2815,退休返聘人员
1069,互联网从业者
2117,互联网从业者
8696,互联网从业者
10871,互联网从业者
8489,互联网从业者
9423,互联网从业者
2343,互联网从业者
9484,互联网从业者
6376,互联网从业者
8953,互联网从业者
9892,互联网从业者
7078,互联网从业者
1677,互联网从业者
7068,互联网从业者
2127,互联网从业者
1806,互联网从业者
3403,互联网从业者
1119,互联网从业者
4796,互联网从业者
1131,互联网从业者
1306,互联网从业者
6628,互联网从业者
10680,互联网从业者
6602,互联网从业者
7990,互联网从业者
10628,互联网从业者
4023,互联网从业者
8833,互联网从业者
1935,互联网从业者
2849,互联网从业者
9033,互联网从业者
7231,互联网从业者
2008,互联网从业者
247,互联网从业者
5577,互联网从业者
9732,互联网从业者
2758,互联网从业者
6284,金融从业者
4472,教育从业者
2437,医疗从业者
2766,法律从业者
8053,咨询顾问
10135,市场营销人员
5919,人力资源专员
9913,行政人员
10656,设计师
3577,程序员
9388,产品经理
10330,运营专员
2025,会计 / 财务
10502,公关人员
1518,零售店员
326,餐饮从业者
7403,物流快递员
10156,网约车司机
8158,导游 / 旅游从业者
10299,美容美发师
2538,健身教练
4547,家政服务人员
7967,客服专员
5773,销售顾问
1658,自由设计师
8942,独立摄影师
10096,自媒体创作者
2905,插画师
10514,作家 / 文案
3588,音乐人
10899,短视频博主
7991,电商主播
27,网红 / 达人
3371,手工匠人
1980,大学生
10992,研究生 / 博士生
